Title,Course Price,Subscribers,Reviews Left,Percent of Reviews,Length of Course
t,i,t,l,e,","
Learn to Build Websites using Twitter Bootstrap,0.0,15134,523,0.03,12
Web Development Tools the Pros Use: Code Productivity Hacks,30.0,2596,11,0.0,39
WordPress : An Overview,45.0,1783,16,0.01,15
Create Startup Landing Page with Viral Marketing Strategies,0.0,12974,120,0.01,13
JavaScript : JavaScript Awesomeness,25.0,785,20,0.03,25
Mastering CSS 3.0 Selectors,0.0,4115,63,0.02,13
WordPress Backup And Restore Fundamentals,0.0,13242,131,0.01,24
Learn HTML and CSS to make a Website,20.0,1154,12,0.01,71
1 Hour HTML,200.0,16212,514,0.03,20
Angular 2 Crash Course with TypeScript,100.0,16409,589,0.04,74
Boost your website speed without any coding!,50.0,1337,28,0.02,12
Professional Rails Code Along,40.0,1469,237,0.16,120
ASP.NET Web API 2 Hands-On,20.0,2660,276,0.1,16
Create a MEAN App by Example - Full Stack Course,50.0,421,26,0.06,33
The Original Complete Web Developer Course.,20.0,31070,742,0.02,195
Angular 2 From The Ground Up,30.0,1737,471,0.27,87
Complete Web Development Course + Building 5 Websites!,200.0,11492,174,0.02,118
WP Plugin Development - Build your own plugin!,200.0,5439,22,0.0,24
Sass: From Beginner to Advanced,40.0,8059,231,0.03,39
Build Flat Responsive Website from Scratch - Complete Course,35.0,12105,144,0.01,54
Wordpress for Beginners - Build a Live Website from Scratch,20.0,3877,92,0.02,15
"Essential JavaScript, jQuery and AngularJS Training",30.0,2919,136,0.05,70
The Pro Ruby on Rails Starter,45.0,2409,90,0.04,19
Unit Testing AngularJS: Build Bugfree Apps That Always Work!,25.0,2083,213,0.1,23
WordPress Blog : Create a WordPress Website for Beginners,20.0,2076,8,0.0,20
Introduction to HTML5 Canvas basics of drawing,200.0,2918,16,0.01,17
"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",200.0,842,144,0.17,536
Kids Coding - Beginners CSS,100.0,7130,30,0.0,17
PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,50.0,5549,92,0.02,143
Learning Path: Magento: Master and Test Magento 2 with Ease,200.0,155,9,0.06,37
The Complete hapiJS Course - Go From Beginner To Advanced!,195.0,1697,64,0.04,54
Ruby On Rails For Web Development,195.0,2526,185,0.07,24
Create eye-catching WordPress website from scratch,30.0,2342,15,0.01,19
Become A Web Developer And Seller - Build Websites With HTML,200.0,21730,61,0.0,35
WordPress Tips and Tricks,200.0,1117,10,0.01,37
HTML Tutorials : HTML Code for Website Creating,20.0,2401,15,0.01,27
Complete HTML5 and CSS3 Course +1 Start to Finish Project,200.0,3887,81,0.02,94
Web Development With HTML CSS BOOTSTRAP JQUERY for Beginners,35.0,1156,4,0.0,59
HTML5 Specialist: Comprehensive HTML5 Training,100.0,1385,188,0.14,83
CSS and CSS3 For Absolute Beginners,75.0,10890,212,0.02,33
Build a Complete JQuery Plugin (Image Pop-up Dialog),20.0,1126,10,0.01,12
How to create HTML Forms,30.0,3652,60,0.02,7
ReactJS and Flux: Learn By Building 10 Projects,60.0,1723,258,0.15,60
How To Make A Business Website In 1 Day With Wix FAST & EASY,20.0,3759,24,0.01,25
PHP Date and Time Course by Edwin Diaz,40.0,1653,53,0.03,14
Start Your Own Forum Website in 15 Minutes,40.0,5387,38,0.01,15
Hit the ground running with AngularJS with Dion Yang,100.0,4563,49,0.01,13
Learn CSS Transition and Animation,100.0,3757,28,0.01,20
Learn JavaScript from scratch,20.0,4193,92,0.02,44
WordPress for Beginners - Tutorial - From Novice to Know-How,20.0,3694,48,0.01,39
RESTful API with Laravel,45.0,1905,228,0.12,57
Learn Ruby on Rails for Absolute Beginners,195.0,2875,20,0.01,36
JavaScript Tutorial,180.0,613,93,0.15,37
Shopping Cart Website from Scratch Ecommerce,200.0,633,39,0.06,54
Learn By Example: Angular JS,50.0,1515,32,0.02,60
The Complete front end web developer Bootcamp - 14 projects,200.0,900,129,0.14,126
WordPress LMS: E-Learning Website Made Easy,20.0,2382,22,0.01,16
Create An HTML5 Video Player From Scratch,0.0,32260,1005,0.03,12
In Depth Web Development Made Easy,25.0,3249,27,0.01,60
Jquery :basics for beginners,50.0,1274,34,0.03,15
Web Development By Doing: HTML / CSS From Scratch,0.0,72932,2575,0.04,21
Build Your First Website in 1 Week with HTML5 and CSS3,0.0,120291,5924,0.05,30
"ASP.NET Core MVC, Quick and Practical",20.0,387,5,0.01,30
Better way towards CSS using Less and Sass,20.0,2227,44,0.02,26
JavaScript Complete for beginners with real world Apps,120.0,2652,33,0.01,40
Creating a Responsive HTML Email,20.0,2520,183,0.07,34
Angular 2 Demystified,20.0,3150,69,0.02,49
Learn HTML Fast and Easy!,20.0,4011,24,0.01,17
How To Setup a Micro-Blog in 3 Easy Steps,25.0,6937,22,0.0,7
Ruby on Rails for Complete Beginners,35.0,4839,129,0.03,84
Wordpress for Non-Technical People,150.0,2346,10,0.0,65
ASP NET CORE - ANGULAR 2 E-Commerce App,200.0,897,129,0.14,171
Introductory JavaScript Made Easy Training Tutorial,20.0,9381,138,0.01,131
Become a Heroku Rails Ninja: Expert Level Deployment Tools,50.0,7090,52,0.01,30
Complete RESPONSIVE Website Design with HTML5 & CSS3,20.0,2204,6,0.0,97
Pimcore Developer: Implement a Blog from a Bootstrap Theme,95.0,1212,15,0.01,39
Inspirational Web Development - A Beginner Approach -,20.0,5328,47,0.01,28
"Learn HTML, A practical guide from scratch to HTML 5",100.0,5715,52,0.01,31
JavaScript Tutorial: Learn JavaScript Code for Beginners,20.0,2074,14,0.01,22
Website Secrets: Get a Gorgeous Website on the Cheap,50.0,12328,15,0.0,32
Ultimate WordPress Plugin Course,100.0,4537,415,0.09,49
PHP for Beginners: How to Build an E-Commerce Store,100.0,5117,463,0.09,138
"Build Realtime Apps | React Js, Golang & RethinkDB",60.0,3854,482,0.13,48
"Master Electron: Desktop Apps using HTML, JavaScript & CSS",165.0,1902,224,0.12,47
The Complete Web Developer Masterclass: Beginner To Advanced,195.0,37141,1813,0.05,316
Mastering Micro Services Using Java Spring Boot,195.0,1649,34,0.02,25
How to Create A Website: An HTML Tutorial and CSS Tutorial,65.0,3012,260,0.09,330
The Advanced Web Developer Course,100.0,6890,99,0.01,90
Projects in MongoDB - Learn MongoDB Building Projects,50.0,4628,247,0.05,93
Learning JavaScript Programming Tutorial. A Definitive Guide,50.0,17113,380,0.02,93
"The Complete JavaScript, HTML and CSS Tutorial For Beginners",35.0,244,44,0.18,21
"Build Modern Responsive Website With HTML5, CSS3 & Bootstrap",195.0,1472,210,0.14,110
The Complete JavaScript Course For Web Development Beginners,195.0,31499,450,0.01,46
Email Marketing: Send Unlimited Emails via Own Mail Server,35.0,3539,43,0.01,20
Getting started with JavaScript,200.0,1415,17,0.01,23
Learn the basics of the Web development: Coding Tactics,40.0,2965,17,0.01,30
RESTful API with Laravel 5.4: Definitive Guide,145.0,655,95,0.15,195
Learn AngularJS Step By Step,20.0,18777,1112,0.06,21
Learn React : The World's Most Lucrative JavaScript Library,50.0,1591,99,0.06,74
Master Regular Expressions from scratch - All languages,70.0,1925,27,0.01,38
Try AngularJS: Beginner's Guide to Front End Web Development,50.0,16926,126,0.01,33
JavaScript Step by Step how to apply it to your web pages,100.0,13406,78,0.01,44
Explore JavaScript Beginners Guide to Coding JavaScript,200.0,5739,26,0.0,29
Learn Web Scraping with Node.js,75.0,16731,137,0.01,10
Getting Started with WordPress 2016,20.0,1613,21,0.01,20
Learn HTML5 Programming From Scratch,0.0,268923,8629,0.03,45
Getting Started with LESS - Beginner Crash Course,25.0,1780,69,0.04,21
Master ECMAScript 2015 (ES6),0.0,7438,441,0.06,37
Learn to Setup Websites from Scratch,0.0,21087,154,0.01,24
Create Fast RESTful APIs with Lumen and Homestead by Laravel,60.0,1157,105,0.09,31
"Build Modern Websites Quick With HTML,CSS and Bootstrap",20.0,912,17,0.02,48
Twitter Integration customize Tweets with developer API,115.0,2039,7,0.0,19
Build a Responsive Website with a Modern Flat Design,0.0,16527,354,0.02,17
The Ultimate WordPress Boot Camp: Build 7 Websites,125.0,1000,74,0.07,140
Master the Basics of HTML5 & CSS3: Beginner Web Development,0.0,26541,750,0.03,38
Become A Full Stack Web Developer in 14 Days,195.0,467,20,0.04,126
Projects In ReactJS - The Complete React Learning Course,50.0,947,108,0.11,56
Beginning Web development Learn the basics of HTML,95.0,9832,71,0.01,59
Step by Step Build Your Template by Bootstrap 4 from scratch,80.0,2184,15,0.01,24
Hosting your static website on Amazon AWS S3 service,20.0,2853,47,0.02,16
JavaScript Rockstar How to create Incredible Useful code,75.0,16590,51,0.0,27
Spring Core DevOps on AWS,100.0,1626,115,0.07,78
How to Create a Website Without Coding - WordPress 2016,195.0,9056,96,0.01,31
PHP Graphic Techniques: CAPTCHA/ Create a verification code,20.0,8320,73,0.01,11
Introductory To HTML and CSS,50.0,4106,112,0.03,15
Learn how to convert PSD to HTML and CSS responsive,30.0,5324,52,0.01,14
PHP User Login Registration Script With All Features,200.0,5603,46,0.01,47
AJAX : Let's build a COOL project,70.0,4183,292,0.07,38
Advanced WordPress Topics: Post Types Taxonomies & Metaboxes,95.0,301,44,0.15,91
Laravel Homestead,0.0,3883,110,0.03,9
The Complete TypeScript Programming Guide for Web Developers,40.0,236,31,0.13,35
JavaScript with BackboneJS and Bootstrap CSS - Advanced,25.0,1758,37,0.02,16
Ruby on Rails Tutorial: Learn 6 Ruby on Rails SEO Techniques,200.0,1266,16,0.01,21
XML DOM :basics for beginners,35.0,920,1,0.0,7
Learn HTML Basics From Scratch,0.0,5004,52,0.01,21
Byte-Sized-Chunks: Dynamic Prototypes in Javascript,20.0,880,6,0.01,24
Build Websites from Scratch with Squarespace,50.0,342,53,0.15,60
Introduction to web programming for GIS applications,100.0,205,38,0.19,97
Java Spring Security,40.0,527,63,0.12,11
Responsive Html5 Theme Development,20.0,1517,4,0.0,12
What’s New in Bootstrap 4,20.0,130,14,0.11,20
ReactJS Course: Learn JavaScript Library Used by Facebook&IG,50.0,1018,33,0.03,41
Building a Ruby on Rails Application with Neo4j,0.0,4830,38,0.01,7
