Title,Course Price,Subscribers,Reviews Left,Percent of Reviews,Length of Course
t,i,t,l,e,","
Sara Learns to Code.  Making an App from Scratch,60.0,402,20,0.05,35
Ajax  for Beginners: A Very Basic Introduction,65.0,755,5,0.01,18
Wordpress Essentials: Useful Plugins,25.0,1087,7,0.01,24
Django by Example,125.0,170,21,0.12,78
Build A Great Wordpress Website For Your Business in 2 Hours,35.0,1054,4,0.0,26
Wordpress on AWS: The Easy way to AWS for Free Fast hosting,40.0,245,23,0.09,36
Mastering TypeScript,95.0,353,34,0.1,41
Mastering AngularJS UI Development,95.0,464,26,0.06,22
Custom Theme Creation for WordPress using HTML5 and CSS3,35.0,298,20,0.07,24
Create a PHP Contact Form in Bootstrap,20.0,2238,65,0.03,12
Introduction To Data Analytics Using Microsoft Power BI,45.0,1764,33,0.02,16
HTML Made Simple For Beginners: Create a One Page Website,65.0,3380,50,0.01,16
The Complete Web Developer Masterclass: Beginner To Advanced,20.0,1030,11,0.01,30
Website Builder Software Previews,25.0,1406,12,0.01,20
Learn How to Create Your Own Social Network,50.0,4732,5,0.0,14
"Learn By Example: The Foundations of HTML, CSS & Javascript",50.0,1724,72,0.04,94
JavaScript manipulation of the DOM Document Object Model,20.0,1618,46,0.03,20
Create Jekyll blog and host it on Github like a Ninja,20.0,5056,74,0.01,11
Learn React JS from scratch,115.0,1562,42,0.03,34
Web Security: Common Vulnerabilities And Their Mitigation,50.0,1547,30,0.02,56
PHP for Beginners,40.0,2626,95,0.04,135
Make a professional website - 30 Day Guarantee. Discounted!,20.0,11167,34,0.0,13
Symfony 3: Build a PHP Application with Symfony,20.0,466,11,0.02,25
Learn ASP.Net Web API 2 for Absolute Beginner,30.0,1355,14,0.01,29
Build a Website in 30 Minutes,95.0,5065,40,0.01,12
Google Blogger : How to Create a Blog,20.0,1763,17,0.01,30
How to Make a Website Without Coding- WordPress & Web Skills,30.0,6413,107,0.02,123
Learn WCF And Web APIs From Scratch,50.0,5398,358,0.07,83
How To Build A Website From Scratch + Blogging Blueprint,20.0,7017,37,0.01,28
Learn To Create Different Website Layouts & Media Queries,195.0,6510,45,0.01,22
Build Sign Up and Login Forms With Bootstrap Modal,20.0,1898,19,0.01,31
"Build a Real Time web app in node.js , Angular.js, mongoDB",20.0,3299,166,0.05,34
Superb jQuery Course - Become Certified jQuery Developer,95.0,817,6,0.01,32
How To Build A Facebook Messenger Chat Bot From Scratch,120.0,1798,20,0.01,24
"Build Your Own Calculator App with Javascript, HTML5 & CSS",50.0,3688,49,0.01,11
The Complete WordPress Development & Customization Course,100.0,1611,165,0.1,157
HTML CSS Easy steps to create a web template from scratch,200.0,11574,78,0.01,15
Learn jQuery AJAX in 1 hour,195.0,2547,62,0.02,18
Develop Competitive Plugins for WordPress and WooCommerce,150.0,2063,18,0.01,12
Get Results - Core Principles of Web Development Tricks Tips,75.0,22355,54,0.0,26
JSON Faster Sleeker & Easier Discover the benefits learn it,200.0,8577,69,0.01,31
Get to know HTML Learn HTML Basics,200.0,10674,102,0.01,26
Ultimate Css & JQuery Form Designing From Beginner to Expert,115.0,783,5,0.01,13
PHP: Complete Registration and Login with Email Verification,20.0,12781,145,0.01,22
JavaScript from Beginner to Expert,125.0,5484,439,0.08,92
Build a website HTML5 CSS3 Beginner Course,150.0,7884,44,0.01,28
Learn Ruby on Rails: Stripe Payment Processing,40.0,15724,33,0.0,29
WordPress For Beginners | No Coding Required,20.0,3106,31,0.01,13
jQuery For Beginners : A Basic Introduction,65.0,6293,165,0.03,8
WordPress Plugins and Widgets,40.0,8711,29,0.0,12
PHP Essential How to create build Amazing websites with PHP,75.0,8067,30,0.0,44
HTML CSS JavaScript: Most popular ways to code HTML CSS JS,170.0,9332,172,0.02,33
Bootstrap 3 Beginners: Create a Professional Landing Page,20.0,3271,278,0.08,54
Introduction to Node.js for Beginners,125.0,1367,17,0.01,58
Introduction to Coding with Ruby,45.0,5077,126,0.02,66
Complete PHP and MySql Course: From Beginner to Professional,200.0,6508,137,0.02,90
Angular JS Essentials,195.0,4687,99,0.02,24
How To Setup Web Hosting,0.0,11758,242,0.02,8
"Web Application Development using Redis, Express, and Socket",200.0,300,16,0.05,66
How to Start a WordPress Blog - Complete Beginners Guide!,0.0,3784,85,0.02,32
CSS3 Gradients for Web Designers,20.0,1209,9,0.01,21
Learn ASP NET MVC 5 step by step,20.0,1428,91,0.06,32
Tumult Hype Pro Basics: HTML5 Animations Made Easier,50.0,716,32,0.04,57
Web Hosting Set Up and WordPress Installation For Beginners,0.0,12563,239,0.02,11
Ruby on Rails 4---A Test-Driven Approach,100.0,1518,55,0.04,122
AJAX :basics for beginners,35.0,1241,23,0.02,9
Let's JavaScript!  Code a calculator,35.0,380,10,0.03,30
JavaScript from Beginner to Advanced,195.0,395,18,0.05,57
WordPress Theme Academy with Bootstrap,20.0,1169,110,0.09,64
Building a eCommerce Startup in 4 Hours [Livestream],50.0,1114,8,0.01,23
Responsive PHP Registration Form: From Scratch,95.0,5738,9,0.0,35
A-Frame WebVR Programming Tutorial Series (Virtual Reality),40.0,6648,16,0.0,22
Learn Bootstrap And Make Responsive Websites,25.0,1605,10,0.01,32
HTML Web Development Crash Course,20.0,4848,33,0.01,17
Bootstrap Basics: Program Responsive Websites,75.0,4743,393,0.08,28
Projects with JSON and APIs,20.0,1520,34,0.02,23
Web Design HTML CSS How to Create a Website from Scratch,50.0,3601,28,0.01,22
"Create Complete Sign up System using PHP, jQuery and Ajax",200.0,4033,40,0.01,25
Adobe Flash for Beginners - Build Flash Website From Scratch,200.0,17071,17,0.0,15
Learn Complete WordPress for Building a Professional Sites,80.0,13708,92,0.01,62
Devtools 2017: Beginner to Expert w/ Chrome Developer Tools,125.0,430,54,0.13,39
Bootstrap Essential Training - Create Your Very Own Website,20.0,2643,34,0.01,83
Angular 2 Jump Start With Typescript,20.0,1731,90,0.05,74
Learn Plugin Development in WordPress By Building  Projects,60.0,1313,121,0.09,62
"Build Your Startup with No Coding (Design, Develop & Ship)",30.0,775,245,0.32,82
The Web Developers Guide: Learn HTML & CSS Fundamentals,20.0,2243,27,0.01,97
Learn PHP Programming for Absolute Beginners - Lite,20.0,2749,62,0.02,7
Learn Drupal 8 - With a Live Project,55.0,2012,15,0.01,59
Supreme NodeJS Course - For Beginners,200.0,1080,37,0.03,76
CSS3 for beginners,195.0,3831,15,0.0,25
Javascript for beginners,75.0,2071,57,0.03,14
Become a Bootstrap Expert: Build 20 Layouts!,35.0,2755,57,0.02,179
PHP : Learn to upload files to Amazon S3 and use CloudFront,50.0,1216,36,0.03,28
PHP MySQL: Learn PHP MySQL with Project,20.0,2314,77,0.03,25
How to Set Up a Self-Hosted Wordpress Website in 30 Minutes,0.0,8770,261,0.03,13
Projects in Django and Python,60.0,1764,53,0.03,28
"Create, Update and Manage Your Own Website Using Drupal 7",120.0,2837,68,0.02,49
Learn HTML - The programming language to build a webpage!,25.0,1655,39,0.02,19
Learn To Program JavaScript (in ten easy steps),75.0,2721,96,0.04,44
Bootstrap :basics for beginners,40.0,1152,20,0.02,14
Introduction to CSS Development,0.0,15493,415,0.03,25
PHP :basics for beginners,45.0,1562,4,0.0,12
Beginning Oracle WebLogic for Administrators,0.0,9786,989,0.1,7
Build an HTML5 and CSS3 Website in 35 Minutes,20.0,1904,25,0.01,17
Angular 2 Routing: Up And Running,0.0,3357,84,0.03,13
Advanced Prezi: Make Amazing Presentations,30.0,2200,25,0.01,12
1 hour jQuery,100.0,5456,133,0.02,25
The WpFASTER WordPress Speed Optimization Master Course,175.0,2134,215,0.1,55
How to Build Your Own Website with WordPress: A Step-by-Step Guide,95.0,4675,15,0.0,56
Build Apps with ReactJS: The Complete Course,40.0,1433,145,0.1,34
Learn SASS: from beginner to expert,20.0,1734,9,0.01,13
The complete HTML5 course,20.0,3461,11,0.0,23
Create a Responsive Website with Bootstrap 3,50.0,4076,39,0.01,22
Lerning PHP by building website,185.0,567,63,0.11,34
Learn PHP Object Oriented Features with Simple Examples,20.0,1723,28,0.02,7
Crash Course - Learn to Create a PHP MVC Framework,50.0,1282,117,0.09,12
JSON :basics for beginners,45.0,2052,18,0.01,8
CSSCasts; CSS libraries Plugins Tips & Tricks for Developers,200.0,1874,40,0.02,224
Complete Guide to Front-End Web Development and Design,200.0,1119,111,0.1,204
"Build Ajax Web Apps with Laravel 5.2, Bootstrap and jQuery",100.0,1023,131,0.13,44
Javascript for Beginners,20.0,3697,195,0.05,48
MongooseJS Essentials - Learn MongoDB for Node.js,0.0,21682,1106,0.05,8
Regular Expressions for Beginners - Universal,100.0,1975,141,0.07,36
Learn Redis from Scratch,40.0,553,84,0.15,31
WordPress Plugin Development -> Deep dive discovery!,40.0,2650,19,0.01,39
Learn Ajax and jquery with PHP,20.0,2964,8,0.0,9
Create a business website with WordPress,50.0,1624,31,0.02,38
DesktopServer : Install WordPress Locally  - Work Anywhere!,65.0,1640,22,0.01,29
Understand PHP Arrays and HTTP Request in a Better Way,35.0,1627,38,0.02,7
Mastering CSS,95.0,1815,249,0.14,42
The Complete Wordpress Theme Development Guide,25.0,1011,2,0.0,19
The Complete HMTL5 Course - Go From Beginner To Advanced!,95.0,2430,15,0.01,36
Learn Jquery from Scratch 2-Hour Training,20.0,5318,56,0.01,13
How to Create a Wordpress Website from Scratch - No Coding,20.0,7018,28,0.0,38
Learn PHP CodeIgniter Framework with AJAX and Bootstrap,75.0,1634,52,0.03,21
The Complete Guide to JavaScript Development,110.0,3590,36,0.01,104
Basic HTML CSS and Web Design,30.0,4030,92,0.02,46
Build Professional WordPress Website,145.0,4020,95,0.02,52
Ultimate CSS3 Course - From Beginners To Professional,95.0,2635,25,0.01,30
Code & Grow Rich:  Earn More As An Entrepreneur Or Developer,200.0,7211,52,0.01,491
Learn by Example : ReactJS,50.0,1496,37,0.02,74
React.js Quickly: Developing Scalable Web User Interfaces,50.0,4447,76,0.02,24
JavaScript - Tricks and Workarounds,100.0,1410,134,0.1,67
Kids Coding - Beginner HTML,20.0,6628,53,0.01,19
Learn PHP from scratch!!,25.0,1908,12,0.01,17
PHP with PDO - ULTIMATE Crash Course,50.0,1248,171,0.14,18
JavaScript for beginners with live examples,195.0,4587,46,0.01,49
Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast,50.0,2351,302,0.13,16
Laravel(5.2) PHP Framework  Jump Start for beginners,20.0,3898,95,0.02,32
Professional WordPress Theme Development For 2017,20.0,3185,102,0.03,94
Learn Laravel PHP Framework Building Multi User SEO Blog APP,100.0,557,92,0.17,133
Javascript Specialist,200.0,408,39,0.1,80
Write PHP Like a Pro: Build a PHP MVC Framework From Scratch,70.0,1703,435,0.26,65
JavaScript Intro to learning JavaScript web programming,20.0,17554,94,0.01,16
Crash Course: Fundamentals Of HTML & CSS From Scratch.,20.0,7368,216,0.03,52
"Laravel, the complete guide with real world projects",200.0,676,119,0.18,125
VueJS V1 Introduction to VueJS JavaScript Framework,200.0,3632,28,0.01,31
HTML CSS: Essential steps to learn HTML CSS,145.0,10576,154,0.01,23
Learn HTML 5 in 1 hour,100.0,11643,169,0.01,21
Learn Html5 & CSS3 from scratch,20.0,13960,239,0.02,19
Responsive Web Design: Made Easy,195.0,5085,106,0.02,27
Parse Server: From Front End to Full Stack,200.0,1130,162,0.14,66
Codeigniter: How to use Codeigniter that drives knowledge,150.0,14606,235,0.02,21
jQuery for Beginners - Create Website Animations Easily,100.0,2971,285,0.1,28
How to Build Chat Bots: From Beginner to Intermediate,140.0,2814,107,0.04,35
Web Development with BootStrap - 16 Instant Themes Included!,40.0,1355,45,0.03,27
Install a Wordpress Theme the Correct Way & Charge Others,20.0,2335,13,0.01,18
Coding for Entrepreneurs Basic,0.0,161029,279,0.0,27
The CSS and CSS3 Crash Course,150.0,2051,99,0.05,76
Build a Business or Personal Website Using Wordpress,200.0,1069,12,0.01,61
Learn By Example: PHP For Dynamic Websites,50.0,1439,10,0.01,77
Learn ReactJS: Code Like A Facebook Developer,20.0,1948,72,0.04,45
Learn to Build Web Apps using D3JS,40.0,841,99,0.12,29
How to create awesome website and e-commerce in 1 hour,20.0,937,4,0.0,10
Joomla for Beginners - Learn how to build a website with CMS,95.0,583,7,0.01,35
Learning Drupal 8,50.0,577,97,0.17,101
Learn How To Build a Web Application Without Coding,0.0,9364,311,0.03,10
Rock Solid Wordpress Security - Secure Web Development,0.0,5052,92,0.02,23
Mastering JavaScript,95.0,694,39,0.06,39
PHP Laravel 5:Creating a CRUD application,45.0,511,12,0.02,7
XQUERY :basics for beginners,40.0,937,2,0.0,6
PHP Development with the Laravel Framework,50.0,1611,24,0.01,20
WordPress Development - Themes and Plugins Complete Guide,200.0,103,11,0.11,72
Basic JavaScript: Build 4 Basic JavaScript Projects,40.0,670,33,0.05,37
HTML and CSS for Beginning Web Developers,100.0,1606,28,0.02,73
Popular JavaScript Framework:Learn The Language Of Angular 2,200.0,260,22,0.08,64
The Ultimate Guide to the Best WordPress Plugins Part 1,50.0,122,10,0.08,116
XSLT :basics for beginners,35.0,877,6,0.01,7
The Complete Wordpress Plugin Development Course - 8 Plugins,200.0,1215,58,0.05,33
JSON Crash Course for Beginners,45.0,3323,90,0.03,7
You can create Incredible Websites with HTML CSS learn how,100.0,11892,50,0.0,28
JavaScript Tricks how to create code projects from scratch,75.0,15106,31,0.0,16
The Sass Course! Learn Sass for Real-World Websites,95.0,975,141,0.14,18
Web Design How to Create a Website HTML CSS Bootstrap,75.0,5263,29,0.01,29
Master Angular 4 by Example - Build 7 Awesome Apps!,195.0,596,32,0.05,84
Create A Custom Responsive WordPress Website For A Client,95.0,7517,89,0.01,47
Mastering HTML5 Programming - The Easier Way,75.0,21653,138,0.01,35
How to Launch Your Own Website Builder Service,20.0,9028,87,0.01,12
Getting Started with HTML,40.0,7375,52,0.01,17
Spring Framework 4 (Java Enterprise JEE) with AngularJS,95.0,5177,318,0.06,70
Build A Weather App With Ajax Using Open Weather Map API,20.0,6548,44,0.01,38
Essentials of JavaScript Practice Coding Exercises Tips,80.0,28125,115,0.0,21
Learn and Earn with HTML & CSS,20.0,9349,206,0.02,69
Get started Creating Websites Everything you need provided,100.0,14260,44,0.0,43
JavaScript in Action JavaScript Projects,150.0,7720,58,0.01,17
Modern Web Development with Laravel 5.2 (PHP Framework),120.0,2142,536,0.25,71
Programming for Entrepreneurs - JavaScript,200.0,12873,106,0.01,38
Create a Website from Scratch using HTML CSS step by step,75.0,12882,95,0.01,20
Complete AJAX Course: Learn AJAX Techniques Using Bootstrap,195.0,12368,89,0.01,26
Learn jQuery by Example Course,170.0,8625,94,0.01,73
Bootstrap 4 Theme Development Masterclass,150.0,2641,28,0.01,15
Wordpress Theme Development for Beginners,20.0,1052,14,0.01,47
Web Design Creating websites from scratch,75.0,13920,64,0.0,28
HTML Learning the Basics Intro to HTML website coding,20.0,7416,65,0.01,14
Learn how to use Javascript Components with PHP and Symfony,90.0,1822,4,0.0,25
So you think you know JavaScript?,50.0,1010,154,0.15,25
Learn Node.js by building Udemy: Stripe + MailChimp + Wistia,110.0,1425,36,0.03,34
Learn jQuery: An In-depth Course For Beginners,50.0,7014,95,0.01,62
JavaScript for Beginning Web Developers,75.0,7785,416,0.05,33
JQuery Create Overlay Popups from scratch using Jquery,50.0,4407,17,0.0,29
Vue JS 2: From Beginner to Professional,145.0,602,93,0.15,214
Ultimate AngularJS: Build a Real-World App from Scratch,100.0,1712,438,0.26,49
Wordpress Site Migration,20.0,1894,40,0.02,35
introduction to HTML Course,20.0,3258,32,0.01,16
Create Single Page Website using Twitter Bootstrap 3,20.0,7449,111,0.01,13
The All-In-One Web Development Course,85.0,538,13,0.02,113
Code a Responsive Website Using HTML5 and CSS for Beginners,50.0,1271,136,0.11,110
AngularJS for the Real World - Learn by creating a WebApp,115.0,1407,137,0.1,69
Wordpress Tutorial,200.0,2311,8,0.0,44
Create a REAL Social Network like Facebook in PHP + MySQL,45.0,1002,178,0.18,174
Advanced Node.js Development,55.0,2565,32,0.01,41
ASP.NET MVC 5 Project - Facebook Clone,30.0,210,19,0.09,41
Bootstrap For Beginners: A  Basic Introduction,55.0,1186,14,0.01,9
jQuery for Beginners,20.0,1421,17,0.01,36
JavaScript Basics For Web Developers,20.0,958,14,0.01,17
Learn PHP from Scratch,50.0,1550,25,0.02,27
Learn Express,25.0,1309,60,0.05,14
"Build A Web App with VueJS, Spring Framework and MongoDB",145.0,251,32,0.13,25
Zend Framework 2: Learn the PHP framework ZF2 from scratch,40.0,723,130,0.18,37
Improved SEO with Rich Snippets and MicroData,0.0,11026,228,0.02,13
X theme for WordPress: Responsive web design without code!,20.0,1318,81,0.06,55
Become a HTML and CSS Developer - Build a Responsive Site,0.0,3894,91,0.02,29
How to Make a Wordpress Website 2017,0.0,12293,235,0.02,18
Install Wordpress,20.0,1447,35,0.02,7
CSS Specialist: Comprehensive CSS Training,100.0,487,31,0.06,52
Introduction to Laravel 4,0.0,9110,411,0.05,22
Introduction to Elm,0.0,1519,28,0.02,20
Learn to Freelance with People Per hour  (URDU),20.0,948,48,0.05,8
Learn Wordpress 4 from Scratch : Create Awesome Websites,75.0,2023,8,0.0,25
Amazon Alexa Development: From Beginner to Intermediate,140.0,1858,110,0.06,52
The Build a SAAS App with Flask Course,40.0,2244,365,0.16,168
Learn JSON with JavaScript Objects and APIs in 1 hour,95.0,3619,93,0.03,19
1 Hour JavaScript,200.0,22999,602,0.03,18
Building An E-Commerce Store Using Java Spring Framework,95.0,2743,589,0.21,61
Typescript Masterclass & FREE E-Book,150.0,1229,139,0.11,108
PHP MVC Framework CodeIgniter Tutorial for Beginners Project,100.0,3701,508,0.14,125
JavaScript - Become Higly Paid Front End Developer,105.0,710,137,0.19,49
Object Oriented Programming (OOP) in PHP - Build An OOP Site,20.0,6588,721,0.11,36
Beginners Introduction to Web Development,200.0,7331,55,0.01,18
Django + AngularJS for a Powerful Web Application,95.0,4463,59,0.01,36
WordPress Academy: Learn WordPress step by step,150.0,1873,360,0.19,79
Web Development Essential Skills - Complete HTML and CSS,95.0,1388,11,0.01,58
Byte-Sized-Chunks: Closures in Javascript,20.0,1292,2,0.0,12
Laravel Account Activation Project,50.0,1147,19,0.02,19
WordPress: Create an Amazing Website With Ease,200.0,1109,13,0.01,24
Mastering the Google Chrome Developer Tools,20.0,2002,41,0.02,31
Kali Linux Web App Testing,75.0,876,48,0.05,29
Learn Ruby Programming The Easy Way - Lite,20.0,1186,12,0.01,7
"Web Scraping with Python, Ruby & import. io",75.0,973,50,0.05,46
Sending email with PHP: from Basic to Advanced,40.0,379,58,0.15,45
WordPress 2016 for Beginners : Build awesome websites!,20.0,2177,13,0.01,43
Learn to make websites with Google's Material Design Lite,20.0,1063,72,0.07,84
Joomla 3 : Develop a Professional Website in 3 Simple Steps!,35.0,1309,74,0.06,43
Complete Python Web Course: Build 8 Python Web Apps,110.0,7489,941,0.13,173
Web Design for Beginners: Real World Coding in HTML & CSS,100.0,9103,1724,0.19,58
Ethereum Developer: Build A Decentralised Blockchain App,195.0,3169,527,0.17,38
The Complete Web Development Course -  Build 15 Projects,200.0,7501,1213,0.16,384
Angular 2 + Rails 5 Bootcamp,150.0,1967,372,0.19,60
Javascript - From Beginner to Pro-Build real world JS apps,195.0,28694,688,0.02,77
Redux in Angular (2 and 4+),70.0,909,16,0.02,13
The complete JavaScript developer: MEAN stack zero-to-hero,75.0,4820,983,0.2,53
Running a Web Development Business: The Complete Guide,150.0,24575,525,0.02,98
Projects In JavaScript & JQuery,60.0,9109,620,0.07,50
Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,50.0,18818,407,0.02,80
"Full stack Universal React with Redux, Node js and MongoDB",195.0,1121,174,0.16,62
Creating an MP3 Player with HTML5,20.0,14551,169,0.01,14
Be a Bootstrap Developer from scratch,100.0,5800,185,0.03,32
Create Your First Wordpress Site in Under an Hour,20.0,4867,128,0.03,12
Learn Coding as RF or Telecom Engineer - Build Real Program,25.0,1006,4,0.0,8
Creating FaceBook Design Using Bootstrap - Handson Project,80.0,4616,20,0.0,19
Building HTML5 Canvas projects from scratch,100.0,8968,35,0.0,25
Learn How To Become a Web Developer From Scratch,200.0,7062,72,0.01,172
"Earn Big Profits With Web Development, Simple and Easy!",90.0,3073,27,0.01,13
BDD with Ruby on Rails using RSpec 3 and Capybara,175.0,2706,179,0.07,103
Learn By Example: jQuery,50.0,1702,49,0.03,78
Professional Python Web Development Using Flask,120.0,3420,489,0.14,102
JavaScript HTML CSS Project make a Quiz Tutorial,95.0,7130,39,0.01,24
Voiceover Audio Secrets - Your Way to Top Audio Quality,195.0,918,8,0.01,39
jQuery UI In Depth,25.0,1520,21,0.01,52
Codeless Website Development with Adobe Muse,50.0,461,67,0.15,46
Learn To Build A Google Map App Using Angular 2,30.0,116,12,0.1,7
Learn Reactivex From Ground Up,40.0,207,32,0.15,32
Learn HTML in 59 Minutes - Your intro to front-end dev,35.0,333,15,0.05,14
WordPress Theme Customization 101 (for beginners),40.0,305,40,0.13,9
Supercharging Development With Atom Text Editor,20.0,644,42,0.07,28
Master WCF 4.0 From Scratch Using C#,50.0,415,67,0.16,53
Drupal 7 for Beginners,35.0,926,102,0.11,37
Critical Web Dev Skills & Tools for the Non-Tech Hustler,0.0,3118,8,0.0,33
Install WordPress on Computer using XAMPP,0.0,4290,150,0.03,15
Java Web Services Part 2,20.0,959,51,0.05,74
Complete PHP Course With Bootstrap3 CMS System & Admin Panel,195.0,55332,1225,0.02,144
Learn To Create WordPress Themes By Building 10 Projects,60.0,2273,384,0.17,91
The Complete NodeJS Course: Build a Full Business Rating App,195.0,17784,260,0.01,61
Master the MEAN Stack - Learn By Example,195.0,25799,382,0.01,42
First Web Application with Spring Boot,40.0,2865,95,0.03,32
HTML5 and CSS3: Learn Web Design with HTML + CSS + Bootstrap,200.0,346,28,0.08,74
Backbone Tutorial: Learn Backbonejs from Scratch,90.0,4957,634,0.13,60
AngularJS Custom Directives with Dan Wahlin,75.0,4128,434,0.11,61
Angular 2+ with Typescript - Essential Training,195.0,29348,780,0.03,66
Learn Angular 2 from Beginner to Advanced,195.0,32696,526,0.02,67
Create an eCommerce Wordpress Website 2016 - New Divi Theme!,30.0,3503,123,0.04,41
HTML5 and CSS3 : Landing Pages for Entrepreneurs 2016,195.0,2354,16,0.01,45
Learning Docker and Kubernetes by Lab,30.0,586,54,0.09,56
Projects in ExpressJS - Learn ExpressJs building 10 projects,50.0,1949,149,0.08,102
PHP For Beginners : Learn PHP From Scratch!,100.0,1825,17,0.01,58
Bootstrap 4.0 New Features: Build Responsive Website,40.0,2296,28,0.01,14
ASP.NET MVC 5 Project - CMS and Shopping Cart with Paypal,30.0,550,97,0.18,70
Professional RESTful API Design using Python Flask,120.0,578,25,0.04,36
HTML5 APIs For JavaScript - A Course For Web Developers,50.0,7706,62,0.01,45
Learn Python Django - A Hands-On Course,50.0,1339,21,0.02,18
Comprehensive JavaScript Programming,20.0,6760,84,0.01,27
Security for your WordPress site,85.0,1096,8,0.01,7
Try Django 1.9 | Build a Blog and Learn Python's #1 Library,50.0,7407,172,0.02,147
Accelerated ES6 JavaScript Training,110.0,5811,850,0.15,114
AWS Serverless APIs & Apps - A Complete Introduction,145.0,2145,166,0.08,136
Python and Django Full Stack Web Developer Bootcamp,200.0,11832,1883,0.16,191
The Complete Elixir and Phoenix Bootcamp,50.0,5279,1375,0.26,123
Build a Real-world App with ASP.NET Core and Angular 2 (4+),190.0,5332,828,0.16,160
REST APIs with Flask and Python,110.0,5151,737,0.14,115
Angular 4 (formerly Angular 2) - The Complete Guide,190.0,73783,19649,0.27,329
Build Websites from Scratch with HTML & CSS,145.0,51257,1955,0.04,77
PHP for Beginners -Become a PHP Master - Project Included,200.0,28880,4316,0.15,286
The Professional Ruby on Rails Developer,100.0,17334,676,0.04,96
The Complete Ruby on Rails Developer Course,195.0,33677,3809,0.11,283
Docker Technologies for DevOps and Developers,30.0,19210,3137,0.16,44
JavaScript programming: JavaScript for beginners,55.0,2215,223,0.1,74
JSON in Action: Build JSON-Based Applications,50.0,1322,171,0.13,37
Learn Ruby Programming The Easy Way,35.0,3485,22,0.01,19
Learn OAuth 2.0 - Get started as an API Security Expert,95.0,2185,283,0.13,45
AngularJS For .Net Developers From Scratch,50.0,2494,303,0.12,40
"Jekyll: make fast, secure static sites and blogs with Jekyll",45.0,2091,86,0.04,29
HTML and CSS BootCamp for Beginners,30.0,1777,35,0.02,48
Hosting Django: Amazon Web Services (AWS) Fundamentals,45.0,2573,103,0.04,46
Angular Advanced MasterClass & FREE E-Book,150.0,228,9,0.04,72
Learn Responsive Web Development from Scratch,0.0,59639,2692,0.05,24
Build WordPress Plugin to extend Beaver Builder,50.0,1705,26,0.02,17
Coding Made Easy: A Beginners Guide To JavaScript,40.0,1950,33,0.02,16
The Complete Developers Guide to MongoDB,150.0,10945,1286,0.12,129
Electron for Desktop Apps: The Complete Developer's Guide,50.0,2606,241,0.09,77
Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),190.0,17671,4675,0.26,329
"React JS, Angular & Vue JS - Quickstart & Comparison",160.0,2273,288,0.13,142
The Complete JavaScript Course: Build a Real-World Project,195.0,27801,4340,0.16,113
Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,150.0,17297,3166,0.18,111
Angular 2 with TypeScript for Beginners: The Pragmatic Guide,150.0,40070,8341,0.21,194
Meteor and React for Realtime Apps,140.0,6527,1384,0.21,111
The Web Developer Bootcamp,200.0,121584,27445,0.23,342
AngularJS JumpStart with Dan Wahlin,75.0,17802,2144,0.12,113
The Complete Web Developer Course 2.0,200.0,114512,22412,0.2,304
Ultimate Web Designer & Developer Course: Build 23 Projects!,200.0,33788,4434,0.13,246
ExpressJS Fundamentals,0.0,21245,914,0.04,9
REST WCF Service in ASP.NET,0.0,7905,561,0.07,5
Projects in Node.js - Learn by Example,195.0,869,99,0.11,38
Building Data Visualizations with D3 and Angular 2,125.0,293,30,0.1,31
Learn Object Oriented PHP By Building a Complete Website,0.0,36322,2618,0.07,32
Web Programming Course : Asp.Net MVC,100.0,2760,76,0.03,26
Learn Spring Framework Practically - Hands On Recipies,145.0,522,50,0.1,48
One-stop Ruby on Rails: Build Web Applications from Scratch,145.0,1628,162,0.1,129
Learn what's new in PHP 7,0.0,12336,271,0.02,26
Dive Into Docker: The Docker Course for Developers,0.0,6437,313,0.05,22
"Basic Concepts of Web Development, HTTP and Java Servlets",35.0,2797,59,0.02,10
The Most Comprehensive Web Development Course,200.0,333,22,0.07,353
Learn and Understand AngularJS,175.0,59361,11580,0.2,55
JavaScript: Understanding the Weird Parts,175.0,79612,16976,0.21,85
Webpack 2: The Complete Developer's Guide,75.0,8964,1893,0.21,56
Build Responsive Real World Websites with HTML5 and CSS3,195.0,43977,7106,0.16,77
ES6 Javascript: The Complete Developer's Guide,80.0,13010,2709,0.21,68
Learn and Understand NodeJS,195.0,58208,11123,0.19,98
Understanding TypeScript,110.0,9132,1560,0.17,137
Advanced React and Redux,140.0,21998,3326,0.15,119
Modern React with Redux,180.0,50815,15117,0.3,150
Angular Styling & Animations (for Angular 2 and Angular 4),120.0,4138,307,0.07,107
The Complete ASP.NET MVC 5 Course,190.0,20652,6357,0.31,138
GraphQL with React: The Complete Developers Guide,150.0,6412,987,0.15,114
"Create a Simple Photo Gallery with Dropzonejs, Slick and PHP",0.0,2464,17,0.01,9
WordPress in under an hour - Create/manage your own website!,0.0,6474,86,0.01,15
Twitter Bootstrap 2 for Beginners,20.0,2388,139,0.06,12
Bootstrap Tutorial - Essentials From Basic to Advanced,195.0,1494,23,0.02,62
Create an Engaging Website with Twitter Bootstrap 2.x,20.0,1463,56,0.04,24
Javascript :basics for beginners,30.0,1057,22,0.02,12
